avatar_id,avatar_name,gender,preview_image_url,preview_video_url
Onat_Suit_Side_public,Onat Suit Side,male,https://files2.heygen.ai/avatar/v3/62f72ca3ed5d4ea29fb67ebe233028c8_42140/preview_target.webp,https://files2.heygen.ai/avatar/v3/62f72ca3ed5d4ea29fb67ebe233028c8_42140/preview_video_target.mp4
Onat_iPad_Front_public,Onat iPad Front,male,https://files2.heygen.ai/avatar/v3/1959775809d7446294b1dc722a9a23a3_42200/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/1959775809d7446294b1dc722a9a23a3_42200/preview_video_talk_1.mp4
Onat_iPad_Side_public,Onat iPad Side,male,https://files2.heygen.ai/avatar/v3/481794844cf140e6a6d0f36e74d65315_42210/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/481794844cf140e6a6d0f36e74d65315_42210/preview_video_talk_1.mp4
Onat_iPad_Sitting_Front_public,Onat iPad Sitting Front,male,https://files2.heygen.ai/avatar/v3/ed1a51a567dd477cb274621e36a11ad3_42220/preview_target.webp,https://files2.heygen.ai/avatar/v3/ed1a51a567dd477cb274621e36a11ad3_42220/preview_video_target.mp4
Onat_iPad_Sitting_Side_public,Onat iPad Sitting Side,male,https://files2.heygen.ai/avatar/v3/096643a51ba74748abdf53f77c804fd8_42150/preview_target.webp,https://files2.heygen.ai/avatar/v3/096643a51ba74748abdf53f77c804fd8_42150/preview_video_target.mp4
Salma_headscarf_Front,Salma in headscarf (Front),female,https://files2.heygen.ai/avatar/v3/3aceb5e1b2cc4cc5993d703220dd9bf8_34960/preview_target.webp,https://files2.heygen.ai/avatar/v3/3aceb5e1b2cc4cc5993d703220dd9bf8_34960/preview_video_target.mp4
Salma_headscarf_Left,Salma in headscarf (Left),female,https://files2.heygen.ai/avatar/v3/e79c1ae85ac94afb9f0fbde8a68b4db4_34970/preview_target.webp,https://files2.heygen.ai/avatar/v3/e79c1ae85ac94afb9f0fbde8a68b4db4_34970/preview_video_target.mp4
Salma_headscarf_Right,Salma in headscarf (Right),female,https://files2.heygen.ai/avatar/v3/ea0b6f61b0c54fafb25984cb944b5069_34980/preview_target.webp,https://files2.heygen.ai/avatar/v3/ea0b6f61b0c54fafb25984cb944b5069_34980/preview_video_target.mp4
Sophia_public_2_20240320,Sophia in Black Shirt,female,https://files2.heygen.ai/avatar/v3/5ea6e259de514d50905cdfc5cd1d3554_15278/preview_talk_5.webp,https://files2.heygen.ai/avatar/v3/5ea6e259de514d50905cdfc5cd1d3554_15278/preview_video_talk_5.mp4
Sophia_public_3_20240320,Sophia in Suit ,female,https://files2.heygen.ai/avatar/v3/075e21343582402892ceec9744dba2fe_15278/preview_talk_3.webp,https://files2.heygen.ai/avatar/v3/075e21343582402892ceec9744dba2fe_15278/preview_video_talk_3.mp4
Sophia_public_20240320,Sophia in White Suit,female,https://files2.heygen.ai/avatar/v3/446572d3d2174b3b9245c966fe183207_15278/preview_target.webp,https://files2.heygen.ai/avatar/v3/446572d3d2174b3b9245c966fe183207_15278/preview_video_target.mp4
Susan_public_2_20240328,Susan in Black Shirt,female,https://files2.heygen.ai/avatar/v3/5dc05aef0295473da983300f43abf7fd_17860/preview_talk_5.webp,https://files2.heygen.ai/avatar/v3/5dc05aef0295473da983300f43abf7fd_17860/preview_video_talk_5.mp4
Susan_public_3_20240328,Susan in Black Suit,female,https://files2.heygen.ai/avatar/v3/cc39522acd1a4a8694847d655d8c1540_17860/preview_target.webp,https://files2.heygen.ai/avatar/v3/cc39522acd1a4a8694847d655d8c1540_17860/preview_video_target.mp4
Susan_public_20240328,Susan in Suit,female,https://files2.heygen.ai/avatar/v3/4ea29d1f60c1497bae28bdce8a4cc07c_17860/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/4ea29d1f60c1497bae28bdce8a4cc07c_17860/preview_video_talk_2.mp4
Travis_public_3_20240301,Travis in Black Suit,male,https://files2.heygen.ai/avatar/v3/e0301de245614a3c84417cd88dffa276_14677/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/e0301de245614a3c84417cd88dffa276_14677/preview_video_talk_2.mp4
Trevor_public_2_20240409,Trevor  in Plaid Shirt,male,https://files2.heygen.ai/avatar/v3/28f8c854f95e4e518ff9470028ef0c2c_20470/preview_talk_5.webp,https://files2.heygen.ai/avatar/v3/28f8c854f95e4e518ff9470028ef0c2c_20470/preview_video_talk_5.mp4
Trevor_public_4_20240409,Trevor in Blue Shirt,male,https://files2.heygen.ai/avatar/v3/acdf79c5062b4f8580ec4d5672419cfd_20470/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/acdf79c5062b4f8580ec4d5672419cfd_20470/preview_video_talk_1.mp4
