voice_id,language,gender,name,preview_audio,support_pause,emotion_support,support_interactive_avatar
20fbb2cf29f3450c904a3779758ccaf6,Arabic,Male,Saleh - Professional,https://static.heygen.ai/voice_preview/47db78d3eff14adeaefe718b7c1a0b2f.wav,False,False,True
2134698646ea49e290d444596d3806cd,German,Male,Jonas - Friendly,https://static.heygen.ai/voice_preview/424d178de7394689ad37c943e794f01c.wav,False,False,True
21d9632a2fc842308ad9b5c5b5014e3a,German,Female,Amala - Warm,https://static.heygen.ai/voice_preview/4c72e33446264a0ab956989639651049.wav,False,False,True
2259b11ddd664c4f84e98f59819f4cc5,Bangla,Male,Pradeep - Newscaster,https://resource.heygen.ai/text_to_speech/zkPBaz8WCiuxkwgMuWqZJH.wav,False,False,True
239530900b9c409ebb6d25ec73266094,Hebrew,female,Sarah - Natural,https://resource.heygen.ai/text_to_speech/cDMukFUjCm4AdznRU8HXdC.mp3,False,False,False
255f8e3f207d4cf58632f0ee48ea75ef,French,Female,Yvette - Warm,https://static.heygen.ai/voice_preview/a300600fb4e240c081d76b7acadf5884.wav,False,False,True
25ef3e4d1a4846a58a5f4c3b1a7f70a8,Chinese,Female,Xiaoyan - Newscaster,https://static.heygen.ai/voice_preview/bbb68c7a2d794b27b9936b985658600c.wav,False,False,True
2673f7664f5d4d369bc28dad9c99bb85,English,male,tim_cafe_outside,https://resource.heygen.ai/text_to_speech/HBf9WDaar3z6FQ3HymY4ki.mp3,False,False,False
267604df751e4934b041a9eea2dafd3f,Thai,Male,Niwat - Natural,https://resource.heygen.ai/text_to_speech/d3zhvvwxHh4hZhdJV5KG9P.wav,False,False,True
269792ff849b43b7b1488a6783a58563,Indonesian,Male,Slamet - Natural,https://static.heygen.ai/voice_preview/AjNHU6oajDPDpmdTuhXA6E.wav,False,False,False
26b2064088674c80b1e5fc5ab1a068ea,English,male,Onyx,https://static.heygen.ai/voice_preview/LhDPL2h3sDVsLbFXrkDpFn.wav,False,False,False
285900cdfd1641e0b163e97a96973212,English,Female,Monica - Calm,https://static.heygen.ai/voice_preview/A28mKDAgwgmKD8KdG68rkZ.wav,False,False,True
289430c137354573a3ab773c91f05094,Japanese,Female,Himari - Natural,https://static.heygen.ai/voice_preview/43ed4fbde9d34f7f8c89a28ee211e9ac.wav,False,False,True
28f7220adbc144eeba42d70e1e969b29,Spanish,Female,Dalia - Friendly,https://static.heygen.ai/voice_preview/6c218dc0bc8243fa825acbc37e6a6300.wav,False,False,True
28fdf16dfbb246bda4cd36ddf9feb3da,English,male,tim_laying,https://resource.heygen.ai/text_to_speech/6PepxQgZsCfL89SSseYqpg.mp3,False,False,False
290fbbc65583416c9bffa47ce05914fd,Filipino,Female,Blessica - Natural,https://resource.heygen.ai/text_to_speech/zKHars5JdDhye9w4ymp9uk.wav,False,False,True
2b0243115175488fbd6b42940c1d1dad,Arabic,Male,Fahed - Calm,https://static.heygen.ai/voice_preview/714282e4e3d04798b082c55243f377ba.wav,False,False,True
2b9762b9199b41c7b473936248ad4a06,Spanish,Male,Arnau - Natural,https://static.heygen.ai/voice_preview/F7fZNmXwQm9ZQ9C2FjgiCa.wav,False,False,True
2c56cc1229214db587034c56a69df99a,Ukrainian,Male,Ostap - Professional,https://static.heygen.ai/voice_preview/fFNZUitfpmJhiamt3724Eo.wav,False,False,True
2d5b0e6cf36f460aa7fc47e3eee4ba54,English,Female,Sonia - Warm,https://static.heygen.ai/voice_preview/nZzCSavZkP37XSyc5CrzS7.wav,False,False,True
2f686fff829b47128078fa093ff33f7d,Malay,Male,Aiman - Natural,https://static.heygen.ai/voice_preview/Q347gpeNJbiZuetTDMcCmT.wav,False,False,False
2f72ee82b83d4b00af16c4771d611752,English,Female,Jenny - Professional,https://static.heygen.ai/voice_preview/XTyya7QKzhwvwDrVQLTvoQ.wav,False,False,True
2f84d49c51a741f3a5be283b0fc4f94c,Spanish,Female,Valentina - Natural,https://static.heygen.ai/voice_preview/EQGZ99dT3kzrPutENe6GCH.wav,False,False,True
2f90470a903f47059d4306267eef65e5,Nepali,Female,Hemkala - Natural,https://resource.heygen.ai/text_to_speech/dY9FsmcLqDyACqu2NCTMxV.wav,False,False,True
30d0ff3bedfe4641a1c27062f8028229,Catalan,Female,Claudia - Natural,https://resource.heygen.ai/text_to_speech/8fwdPEdxd2ykbLHR7TcNTk.mp3,False,False,False
317a44d6bd2249999896f0ec961f1560,German,Female,Gisela - Natural,https://static.heygen.ai/voice_preview/bcc5d657d71a478898df8608d29d421e.wav,False,False,True
31ca37770fab4dd39f27a3dca368c984,Hungarian,Female,Noemi - Natural,https://resource.heygen.ai/text_to_speech/8fjtGFMgXRovsESKFsvX7B.wav,False,False,True
32254053e5de43d18ec1e6095fbc6a16,Spanish,Female,Sofia - Calm,https://static.heygen.ai/voice_preview/4hJnpBj2pKDFJWXhakrNWz.wav,False,False,False
331f1cc78737475b946079cb3d2f5ffc,Vietnamese,Female,Storm - Kindly,https://resource.heygen.ai/text_to_speech/U3oZb6QVujV5p3sz9aHbQH.mp3,False,False,False
